Tipo de movimiento;Fecha evento;Municipio;Latitud (°);Longitud (°);Fuente
Caida;1/02/2022;MACHETÁ;5.075;-73.582;Catalogo SIMMA
Deslizamiento;1/02/2022;MACHETÁ;5.075;-73.584;Catalogo SIMMA
Caida;1/02/2022;FUSAGASUGÁ;4.368;-74.383;Catalogo SIMMA
Caida;1/02/2022;LA VEGA;4.908564;-74.302855;Catalogo SIMMA
Deslizamiento;1/02/2022;MACHETÁ;5.087;-73.628;Catalogo SIMMA
Deslizamiento;24/08/2021;MACHETÁ;5.078;-73.558;Catalogo SIMMA
Deslizamiento;24/08/2021;MACHETÁ;5.078;-73.557;Catalogo SIMMA
Deslizamiento;15/06/2021;VILLETA;5.026;-74.529;Catalogo SIMMA
Deslizamiento;7/06/2021;YACOPÍ;5.415;-74.39;Catalogo SIMMA
Deslizamiento;7/06/2021;YACOPÍ;5.415;-74.399;Catalogo SIMMA
Deslizamiento;7/06/2021;YACOPÍ;5.415;-74.397;Catalogo SIMMA
Caida;31/05/2021;COGUA;5.049722;-73.965;Catalogo SIMMA
Deslizamiento;25/12/2020;VILLETA;4.997;-74.472;Catalogo SIMMA
Deslizamiento;20/12/2020;PUERTO SALGAR;5.492;-74.604;Catalogo SIMMA
Deslizamiento;20/12/2020;PUERTO SALGAR;5.473;-74.599;Catalogo SIMMA
Deslizamiento;17/11/2020;MACHETÁ;5.075;-73.583;Catalogo SIMMA
Caida;17/11/2020;LA CALERA;4.673531;-73.995914;Catalogo SIMMA
Volcamiento;16/11/2020;CAPARRAPÍ;5.385;-74.467;Catalogo SIMMA
Deslizamiento;14/11/2020;TENA;4.669;-74.353;Catalogo SIMMA
Deslizamiento;14/11/2020;TENA;4.672927;-74.355125;Catalogo SIMMA
Caida;2/10/2020;MACHETÁ;5.075;-73.585;Catalogo SIMMA
Caida;5/09/2020;MOSQUERA;4.71;-74.238;Catalogo SIMMA
Deslizamiento;5/09/2020;MACHETÁ;5.075;-73.582;Catalogo SIMMA
Caida;31/08/2020;CHOCONTÁ;5.084;-73.737;Catalogo SIMMA
Deslizamiento;20/08/2020;PUERTO SALGAR;5.561;-74.625;Catalogo SIMMA
Deslizamiento;20/08/2020;PUERTO SALGAR;5.627;-74.619;Catalogo SIMMA
Deslizamiento;20/08/2020;PUERTO SALGAR;5.624;-74.62;Catalogo SIMMA
Deslizamiento;4/08/2020;VILLETA;5.013;-74.482;Catalogo SIMMA
Caida;9/07/2020;CAPARRAPÍ;5.297;-74.563;Catalogo SIMMA
Caida;9/07/2020;CAPARRAPÍ;5.374;-74.471;Catalogo SIMMA
Caida;7/07/2020;CAPARRAPÍ;5.388386;-74.461042;Catalogo SIMMA
Caida;26/06/2020;GUAYABETAL;4.201;-73.784;Catalogo SIMMA
Deslizamiento;20/06/2020;MACHETÁ;5.073;-73.588;Catalogo SIMMA
Deslizamiento;19/06/2020;NOCAIMA;5.059165;-74.340598;Catalogo SIMMA
Deslizamiento;10/06/2020;CÁQUEZA;4.414;-73.96;Catalogo SIMMA
Caida;9/06/2020;CÁQUEZA;4.415;-73.956;Catalogo SIMMA
Flujo;2/06/2020;CHAGUANÍ;4.922061;-74.571476;Catalogo SIMMA
Deslizamiento;26/05/2020;MACHETÁ;5.073;-73.588;Catalogo SIMMA
Deslizamiento;30/03/2020;CHOCONTÁ;5.15942;-73.649511;Catalogo SIMMA
Deslizamiento;18/02/2020;LA PEÑA;5.257575;-74.366369;Catalogo SIMMA
Deslizamiento;18/02/2020;LA PEÑA;5.256486;-74.392489;Catalogo SIMMA
Flujo;18/02/2020;LA PEÑA;5.233175;-74.417428;Catalogo SIMMA
Flujo;18/02/2020;NOCAIMA;5.0657;-74.350547;Catalogo SIMMA
Deslizamiento;16/10/2019;CÁQUEZA;4.376836;-73.908303;Catalogo SIMMA
Deslizamiento;10/10/2019;YACOPÍ;5.417739;-74.383864;Catalogo SIMMA
Deslizamiento;27/07/2019;TIBIRITA;5.039525;-73.526328;Catalogo SIMMA
Deslizamiento;27/07/2019;GAMA;4.737956;-73.579761;Catalogo SIMMA
Deslizamiento;13/06/2019;GUADUAS;5.182819;-74.659308;Catalogo SIMMA
Deslizamiento;5/06/2019;GUAYABETAL;4.250842;-73.823981;Catalogo SIMMA
Deslizamiento;26/05/2019;LA PALMA;5.314658;-74.373914;Catalogo SIMMA
Deslizamiento;18/05/2019;GUAYABETAL;4.224675;-73.818031;Catalogo SIMMA
Deslizamiento;17/05/2019;GUAYABETAL;4.202189;-73.786831;Catalogo SIMMA
Deslizamiento;13/05/2019;SOACHA;4.579236;-74.189128;Catalogo SIMMA
Flujo;10/05/2019;GUAYABETAL;4.200369;-73.781511;Catalogo SIMMA
Deslizamiento;21/04/2019;LA PALMA;5.284436;-74.3744;Catalogo SIMMA
Flujo;4/03/2019;LA VEGA;5.026144;-74.324281;Catalogo SIMMA
Caida;19/08/2018;CHOACHÍ;4.563486;-73.975989;Catalogo SIMMA
Caida;4/08/2018;GUAYABETAL;4.201033;-73.747661;Catalogo SIMMA
Deslizamiento;17/07/2018;FUSAGASUGÁ;4.2575;-74.529722;Catalogo SIMMA
Deslizamiento;27/06/2018;QUETAME;4.301644;-73.857089;Catalogo SIMMA
Deslizamiento;22/06/2018;QUETAME;4.303786;-73.858678;Catalogo SIMMA
Deslizamiento;3/06/2018;CAPARRAPÍ;5.351033;-74.491386;Catalogo SIMMA
Deslizamiento;15/05/2018;GIRARDOT;4.270178;-74.863789;Catalogo SIMMA
Deslizamiento;1/05/2018;ARBELÁEZ;4.250139;-74.431392;Catalogo SIMMA
Deslizamiento;2/04/2018;LA PALMA;5.280492;-74.381144;Catalogo SIMMA
Deslizamiento;17/03/2018;ARBELÁEZ;4.2525;-74.528167;Catalogo SIMMA
Flujo;16/03/2018;QUETAME;4.303175;-73.858213;Catalogo SIMMA
Deslizamiento;23/02/2018;LA MESA;4.643406;-74.433011;Catalogo SIMMA
Deslizamiento;8/02/2018;SILVANIA;4.412222;-74.3825;Catalogo SIMMA
Deslizamiento;24/01/2018;GUAYABETAL;4.247787;-73.840785;Catalogo SIMMA
